distance,cov.min.eval,z_max,motif.max.score,alifold_cov_score,mfe.score,gc.score,motif.sum,group,ID,probability,p.value,read.max.score,read.counts,known,d.val,cov.val,ali.cov.val,z.val,motif.val,read.val,sig.features
0.480543,2.02618e-30,0,19.3,-4.66,-13.46,62.2317596566524,3237.1,Predicted,GCA_000007405.1_474,0.99,1,249942,39,TRUE,1,1,1,0,1,1,5
0.463106,1.22557e-10,-1.3,16.8,-2.94,-14.18,57.1428571428571,919.4,Predicted,GCA_000835925.1_200,0.99,1,162250,27,TRUE,1,1,1,0,1,1,5
0.300864,1.74012e-16,10,16.8,0,0,31.9148936170213,531,Predicted,GCA_000017745.1_146,0.98,1,248448,22,FALSE,1,1,0,0,1,1,4
0.477341,4.53614e-19,0.1,19.3,0,0,61.5615615615616,6695,Predicted,GCA_001648195.1_2,0.97,1,20964,39,FALSE,1,1,0,0,1,1,4
0.174281,10,10,19.5,0,0,56.3380281690141,851.5,Predicted,GCA_002355295.1_105,0.97,1,50654,2,FALSE,1,0,0,0,1,1,3
0.048712,10,0.2,14.2,0,0,34.3137254901961,76.8,Predicted,GCA_000007405.1_240,0.96,1,1357,18,FALSE,0,0,0,0,1,1,2
0.432163,4.59637e-12,0.2,18.6,0,0,69.6864111498258,1377.2,Predicted,GCA_000007565.2_186,0.96,1,4496,13,FALSE,1,1,0,0,1,1,4
0.413444,9.73663e-07,-2,14.2,-0.67,-10.8,56.7741935483871,643.8,Predicted,GCA_000027085.1_316,0.96,1,149838,21,TRUE,1,1,1,0,1,1,5
0.055009,10,0.5,16.2,0,0,31.6239316239316,128.9,Predicted,GCA_000007405.1_665,0.95,1,2442,18,FALSE,1,0,0,0,1,1,3
0.343502,10,0.3,14,0,0,64.8148148148148,124.5,Predicted,GCA_000007565.2_419,0.95,1,2256,12,FALSE,1,0,0,0,1,1,3
0.41035,0.0218016,-0.6,14.5,-0.38,-1.01,46.7289719626168,55,Predicted,GCA_000015425.1_41,0.95,1,15878,8,FALSE,1,1,0,0,1,1,4
0.225031,10,0.7,14.9,0.05,-0.39,65.2777777777778,127.6,Predicted,GCA_001042875.1_102,0.95,1,5316,3,FALSE,1,0,0,0,1,1,3
0.36077,10,10,13.1,0,0,60.7142857142857,165.3,Predicted,GCA_000015425.1_142,0.94,1,14030,2,TRUE,1,0,0,0,1,1,3
0.048712,10,0.5,20.2,0,0,25.531914893617,80,Predicted,GCA_000007405.1_154,0.93,1,3747,18,FALSE,0,0,0,0,1,1,2
0.301526,10,1.1,14.1,0,0,42.2222222222222,47.9,Predicted,GCA_000007405.1_96,0.93,1,11478,22,FALSE,1,0,0,0,1,1,3
0.421197,0.00256623,0.4,22.1,-0.11,-2.34,55.7377049180328,619.4,Predicted,GCA_000015425.1_27,0.93,1,7844,29,FALSE,1,1,0,0,1,1,4
0.443576,2.02808e-19,0,22.8,-0.79,-2.16,73.8461538461539,2343.5,Predicted,GCA_000017745.1_304,0.93,1,10259,14,FALSE,1,1,1,0,1,1,5
0.274106,10,0.4,13.4,0,0,44.6280991735537,55.6,Predicted,GCA_001886455.1_43,0.93,1,868,5,FALSE,1,0,0,0,1,1,3
0.235419,10,-0.1,16.2,-0.24,-11.42,79.2079207920792,447,Predicted,GCA_001042875.1_101,0.92,1,4712,3,FALSE,1,0,0,0,1,1,3
0.399101,0.00564715,0.3,13.1,0,0,37.4015748031496,124.4,Predicted,GCA_000015425.1_45,0.91,1,2149,4,FALSE,1,1,0,0,1,1,4
0.076181,10,-3.5,16.9,0.11,-15.58,40.4494382022472,146.8,Predicted,GCA_000007405.1_124,0.9,1,1815,19,FALSE,1,0,0,0,1,1,3
0.313554,0.00720645,0.5,14,-1.32,-15.76,53.6796536796537,47.3,Predicted,GCA_000017745.1_572,0.9,1,92,3,FALSE,1,1,1,0,1,0,4
0.039356,7.72219e-09,-0.7,14.4,-0.46,-13.65,67.741935483871,112.6,Predicted,GCA_000281215.1_326,0.9,1,6140,3,FALSE,0,1,0,0,1,1,3
0.334101,0.000186471,0,29.1,-0.4,-4.04,60.8695652173913,1466.1,Predicted,GCA_002355295.1_130,0.9,1,14249,2,FALSE,1,1,0,0,1,1,4
0.050073,10,-3,14.6,0.07,-0.56,32.1428571428571,110.3,Predicted,GCA_900088705.1_369,0.89,1,387,5,FALSE,1,0,0,0,1,1,3
0.417422,6.65299e-07,-0.8,12.8,-1.93,-13.15,58.8235294117647,164.3,Predicted,GCA_900243355.1_129,0.89,1,14130,10,FALSE,1,1,1,0,1,1,5
0.048712,0.027136,0.5,13.2,0,0,38,46.8,Predicted,GCA_000007405.1_333,0.88,1,14399,19,FALSE,0,1,0,0,1,1,3
0.048712,10,0.3,15.1,-0.03,0.02,32.6923076923077,55.5,Predicted,GCA_000017745.1_58,0.88,1,1324,16,FALSE,0,0,0,0,1,1,2
0.048712,0.0070634,0.5,12.7,0,0,30.0884955752212,107.9,Predicted,GCA_000007405.1_19,0.87,1,30403,19,FALSE,0,1,0,0,1,1,3
0.360705,0.0410259,-2.7,18,2.73,-50.13,37.7272727272727,74.1,Predicted,GCA_000015425.1_217,0.87,1,7353,4,FALSE,1,1,0,0,1,1,4
0.008638,10,10,0,0,-11.8,65.3061224489796,0,Predicted,GCA_000220485.1_145,0.87,1,68,3,FALSE,0,0,0,0,0,0,0
0.008637,10,10,0,-0.22,-11.87,46.9387755102041,0,Predicted,GCA_002220715.1_302,0.87,1,48,3,FALSE,0,0,0,0,0,0,0
0.005961,10,10,0,-0.25,-5.7,54.1666666666667,0,Predicted,GCA_000007405.1_565,0.86,1,112,3,FALSE,0,0,0,0,0,1,1
0.00132,10,10,0,0.11,-10.77,63.265306122449,0,Predicted,GCA_001042875.1_270,0.86,1,3348,3,FALSE,0,0,0,0,0,1,1
